date,t_mean,t_max,ghi,north,east,south,west
2025-01-01,21.380000,23.770000,3.037700,1.478911,1.589336,1.971487,1.630027
2025-01-02,20.450000,21.940000,3.182900,1.449923,1.598860,2.145065,1.618617
2025-01-03,19.740000,21.510000,3.425300,1.403621,1.778250,2.705186,1.662930
2025-01-04,19.860000,21.910000,4.049000,1.489758,2.098038,3.729238,2.217656
2025-01-05,19.500000,21.310000,4.151300,1.369196,2.348295,4.252876,2.402051
2025-01-06,19.820000,22.980000,4.419600,1.127609,2.463532,4.963501,2.398383
2025-01-07,20.160000,24.030000,4.251600,1.156056,2.398456,4.693120,2.292621
2025-01-08,19.930000,22.770000,3.878600,1.399611,1.922409,3.574720,2.140794
2025-01-09,20.150000,21.610000,4.113800,1.409887,2.222653,3.805005,2.036371
2025-01-10,21.150000,23.770000,4.264300,1.256963,2.180905,4.338553,2.368337
2025-01-11,20.860000,24.830000,4.581400,1.134747,2.569293,5.058026,2.429107
2025-01-12,21.370000,24.430000,4.477900,1.167594,2.435236,4.773114,2.333211
2025-01-13,21.000000,23.070000,3.902400,1.414581,1.923100,3.307398,1.954469
2025-01-14,20.000000,21.760000,4.131600,1.465854,2.121309,3.553711,2.049677
2025-01-15,20.810000,23.620000,4.259500,1.442553,2.204002,3.775089,2.145246
2025-01-16,20.480000,23.620000,4.094600,1.387268,2.156342,3.738869,2.156419
2025-01-17,19.850000,22.020000,4.182700,1.356234,2.200082,3.899429,2.211743
2025-01-18,19.760000,21.660000,3.724800,1.515852,1.804854,2.845460,1.959559
2025-01-19,19.180000,21.050000,4.217300,1.476413,2.266808,3.741474,2.239867
2025-01-20,19.420000,21.430000,4.513200,1.329410,2.407073,4.324952,2.343167
2025-01-21,19.880000,21.790000,4.285200,1.436753,2.251433,3.788165,2.124715
2025-01-22,20.190000,23.280000,4.631500,1.277868,2.681403,4.584310,2.280865
2025-01-23,19.240000,23.540000,4.579200,1.466509,2.291445,4.110072,2.481207
2025-01-24,18.920000,22.480000,4.667300,1.444195,2.501306,4.255911,2.394334
2025-01-25,20.060000,22.510000,4.662000,1.369984,2.410898,4.322169,2.464767
2025-01-26,20.390000,23.160000,4.813000,1.269557,2.612698,4.736307,2.626943
2025-01-27,20.820000,23.270000,4.549700,1.380107,2.503010,4.081429,2.192193
2025-01-28,20.770000,22.610000,4.293400,1.561269,2.196787,3.381499,2.072925
2025-01-29,20.060000,22.120000,4.400900,1.617529,2.453715,3.385004,2.075270
2025-01-30,20.150000,22.180000,4.251800,1.585553,2.353069,3.306551,2.033175
2025-01-31,19.620000,21.330000,4.430400,1.710865,2.300944,3.304684,2.142604
2025-02-01,20.450000,22.720000,4.872500,1.408499,2.449479,4.350702,2.693442
2025-02-02,19.600000,21.660000,4.446200,1.596734,2.465899,3.463588,2.090671
2025-02-03,19.160000,20.970000,4.981200,1.447219,2.469131,4.392545,2.783407
2025-02-04,18.890000,21.160000,5.026300,1.394842,2.756133,4.512932,2.690571
2025-02-05,19.260000,22.620000,5.054600,1.349710,2.879570,4.693904,2.568400
2025-02-06,20.860000,25.080000,4.670900,1.473971,2.531868,3.922522,2.231320
2025-02-07,21.510000,25.200000,3.553700,1.706512,1.794537,2.143013,1.850742
2025-02-08,20.340000,23.210000,4.129200,1.738501,2.057255,2.721060,2.154397
2025-02-09,19.490000,21.500000,4.099000,1.721011,2.020449,2.651395,1.985806
2025-02-10,18.920000,20.590000,4.920200,1.718366,2.553821,3.662009,2.404254
2025-02-11,20.260000,23.630000,5.182100,1.513330,2.698824,4.226988,2.715195
2025-02-12,23.190000,28.120000,4.791100,1.624947,2.401100,3.653577,2.621262
2025-02-13,23.620000,29.060000,4.377400,1.659075,2.381110,3.127721,1.977837
2025-02-14,22.320000,25.690000,3.390200,1.664516,1.870065,1.960840,1.771804
2025-02-15,21.490000,23.770000,4.612100,1.739067,2.163711,3.204565,2.436301
2025-02-16,22.140000,25.540000,3.664300,1.575171,1.966704,2.422753,1.832402
2025-02-17,23.910000,29.940000,4.121000,1.655596,1.995439,2.797271,2.385788
2025-02-18,22.080000,25.060000,2.367400,1.149070,1.251912,1.400644,1.230590
2025-02-19,21.380000,24.150000,4.864600,1.663695,2.451041,3.609680,2.528651
