date,t_mean,t_max,ghi,north,east,south,west
2025-01-01,12.930000,20.310000,3.386200,0.928931,2.159089,4.523867,2.103514
2025-01-02,12.550000,19.980000,3.721900,0.814819,2.292826,5.260345,2.138837
2025-01-03,13.270000,20.530000,3.622100,0.865951,2.174229,4.894024,1.944235
2025-01-04,14.610000,22.020000,2.590800,1.300408,1.396435,1.732204,1.421746
2025-01-05,14.400000,20.330000,2.918400,1.097737,1.589495,2.890813,1.537975
2025-01-06,15.500000,21.210000,3.271200,0.906975,2.245425,4.237144,1.817859
2025-01-07,14.660000,21.550000,3.411100,0.988826,2.325254,4.312188,1.854081
2025-01-08,14.310000,23.050000,3.764200,0.952227,2.150287,4.821522,2.029970
2025-01-09,15.140000,22.650000,3.785800,0.935979,1.784427,4.806110,2.313392
2025-01-10,13.470000,20.540000,3.125500,1.168041,1.801076,3.062961,1.602035
2025-01-11,14.150000,21.110000,3.229900,0.949106,2.148060,3.897937,1.634868
2025-01-12,15.040000,22.210000,3.786700,0.946357,2.149962,4.791982,2.153211
2025-01-13,15.630000,24.040000,3.883400,0.952925,2.168694,4.889823,2.157298
2025-01-14,16.100000,22.640000,3.138200,1.430030,1.774147,2.802309,1.814831
2025-01-15,14.840000,22.180000,3.203800,1.335910,1.827592,2.881229,1.513247
2025-01-16,15.850000,23.370000,2.899200,1.403448,1.621708,2.051707,1.550707
2025-01-17,15.620000,21.850000,3.167800,1.360941,2.043621,2.857640,1.650583
2025-01-18,14.960000,22.400000,3.994300,0.973298,2.337017,5.232151,2.393589
2025-01-19,13.520000,19.120000,3.415200,1.535684,2.080997,3.248621,1.989687
2025-01-20,14.400000,21.490000,3.806200,1.298613,2.451679,4.858806,2.245197
2025-01-21,16.260000,24.820000,3.437500,1.378062,2.503277,3.695323,1.905816
2025-01-22,15.710000,22.120000,2.951500,1.133771,1.913104,2.939519,1.647087
2025-01-23,14.420000,20.830000,3.715200,0.990712,2.631840,4.556041,2.157036
2025-01-24,14.370000,21.770000,4.086200,0.954106,2.409074,5.148397,2.569252
2025-01-25,14.740000,22.490000,3.466300,1.310822,1.739384,3.496204,2.496556
2025-01-26,14.960000,22.590000,4.105000,0.995155,2.427085,4.805583,2.077786
2025-01-27,14.530000,21.690000,3.950600,1.110612,2.723947,4.516534,2.283252
2025-01-28,14.780000,20.880000,3.686600,1.226233,2.996573,3.893342,1.569393
2025-01-29,14.460000,22.200000,4.067000,1.104108,2.829324,4.542552,1.902665
2025-01-30,15.040000,23.990000,4.349800,0.993933,2.471332,5.021517,2.440480
2025-01-31,13.970000,21.950000,4.223000,1.103960,2.908317,4.793133,2.067420
2025-02-01,13.560000,20.720000,3.900500,0.997064,2.847391,4.674345,2.092945
2025-02-02,14.100000,22.080000,4.043000,1.577637,2.621777,4.069584,2.271116
2025-02-03,15.470000,23.760000,3.546200,1.434464,2.190470,2.940492,1.608987
2025-02-04,14.190000,21.790000,3.907700,1.451653,2.328115,3.574970,2.231469
2025-02-05,14.460000,20.580000,3.386600,1.425096,1.914016,2.718696,1.867773
2025-02-06,12.970000,18.300000,2.751100,1.339875,1.710085,1.865998,1.457372
2025-02-07,12.780000,19.400000,2.390200,1.129474,1.221218,1.680360,1.396271
2025-02-08,11.330000,18.320000,3.511900,1.278833,1.643188,3.145285,2.010952
2025-02-09,11.150000,16.270000,2.827400,1.133085,1.704518,2.501868,1.582138
2025-02-10,12.000000,18.510000,3.573400,1.327987,2.364477,3.138512,1.801532
2025-02-11,11.850000,19.140000,3.985000,1.382165,2.559940,3.629459,2.312015
2025-02-12,11.550000,18.860000,4.131100,1.336576,2.845539,3.791530,2.137955
2025-02-13,11.230000,19.010000,4.853300,1.268423,3.164538,4.964683,3.183487
2025-02-14,11.950000,20.440000,5.248300,0.930876,3.027912,5.694379,3.093266
2025-02-15,13.010000,22.140000,4.918100,1.231196,2.988142,4.790764,2.495906
2025-02-16,13.620000,21.970000,4.597900,1.452325,3.056329,4.086650,2.452433
2025-02-17,14.870000,22.770000,5.013400,1.260783,2.863226,4.646246,2.620179
2025-02-18,14.520000,23.310000,4.604400,1.707122,2.254421,3.576597,2.714664
2025-02-19,14.930000,22.490000,3.732200,1.595030,1.746291,2.561717,2.203782
2025-02-20,12.750000,18.970000,3.684700,1.510085,2.195829,2.940818,2.411826
2025-02-21,11.920000,18.480000,3.411100,1.412716,1.985616,2.705632,2.169249
2025-02-22,11.320000,17.940000,4.184900,1.491808,2.959306,3.454749,1.944319
2025-02-23,10.080000,17.450000,4.315900,1.646855,3.106443,3.323289,2.247217
2025-02-24,9.260000,15.360000,3.933400,1.370086,2.915363,3.321636,2.390924
2025-02-25,9.780000,16.490000,4.777400,1.560554,3.472899,4.084272,2.285154
2025-02-26,11.610000,18.470000,5.484700,1.270114,3.159962,4.746102,2.669750
2025-02-27,12.670000,21.380000,5.800100,1.045789,3.472765,5.322039,3.354300
2025-02-28,13.280000,21.530000,5.582600,1.247800,3.655417,4.868059,2.641464
2025-03-01,13.800000,21.560000,4.587600,1.509642,2.918497,3.619355,2.387840
2025-03-02,14.590000,23.400000,5.496200,1.580388,3.659009,4.574292,3.078373
2025-03-03,14.590000,21.560000,4.148200,2.097805,2.350699,2.481231,2.236604
2025-03-04,14.100000,20.460000,3.734600,1.698348,2.002168,2.280214,2.071210
2025-03-05,13.990000,20.800000,4.216600,1.612104,2.464250,2.806820,2.043968
2025-03-06,14.400000,20.540000,4.273000,1.559539,2.119748,2.885207,2.145234
2025-03-07,15.050000,22.610000,4.932700,1.715278,2.689446,3.369749,2.595800
2025-03-08,15.790000,23.530000,4.943800,1.655807,2.095268,3.460151,2.683005
2025-03-09,16.700000,24.620000,5.501300,1.636965,2.542238,4.020064,3.097996
2025-03-10,17.560000,25.820000,6.002600,1.299689,3.143876,4.511111,3.257137
2025-03-11,17.240000,26.180000,6.358100,1.220874,3.399939,4.821825,3.589536
2025-03-12,18.540000,29.220000,6.276000,1.262391,3.296166,4.651910,3.518046
2025-03-13,22.260000,31.840000,5.670000,1.816326,3.597851,3.862258,2.437042
2025-03-14,23.320000,32.910000,6.110200,1.481135,3.012055,4.261660,3.251734
2025-03-15,21.070000,31.500000,6.534500,1.237606,3.534236,4.671732,3.565208
2025-03-16,23.190000,34.680000,6.386200,1.328180,3.270855,4.435677,3.511000
2025-03-17,24.650000,34.750000,5.997100,1.745370,3.525061,3.996643,2.799293
2025-03-18,20.390000,29.510000,6.131500,1.609900,2.764276,4.021963,3.448200
2025-03-19,17.230000,25.520000,5.999300,1.781163,3.527543,3.877279,2.869765
2025-03-20,14.090000,20.590000,3.994600,1.935839,2.340815,2.227578,2.184319
2025-03-21,13.740000,20.260000,3.788200,1.657357,2.270917,2.258745,1.917653
2025-03-22,13.910000,20.670000,5.243800,2.053728,3.386189,3.134903,2.845824
2025-03-23,15.050000,23.750000,6.551000,1.636464,3.295021,4.115559,4.126977
2025-03-24,17.070000,26.940000,6.641500,1.526955,3.407889,4.071884,3.550385
2025-03-25,20.430000,31.220000,6.479800,1.646521,3.125061,3.876022,3.271578
2025-03-26,22.820000,33.840000,6.493000,1.794961,3.296697,3.928159,3.130081
2025-03-27,26.700000,35.590000,6.338900,1.840973,2.626970,3.757455,3.759403
2025-03-28,22.440000,32.760000,5.137000,2.281230,2.750854,2.753056,2.599964
2025-03-29,18.100000,25.720000,6.223200,1.932252,4.008139,3.535742,2.727476
2025-03-30,20.340000,27.460000,6.879800,1.541948,3.413990,3.875763,3.701524
2025-03-31,22.780000,31.060000,6.464200,1.938563,3.463908,3.667644,2.834196
