date,t_mean,t_max,ghi,north,east,south,west
2025-01-01,21.800000,24.570000,2.483800,1.250703,1.323208,1.620145,1.402182
2025-01-02,20.840000,22.790000,4.077800,1.198661,2.349157,4.506638,2.219743
2025-01-03,19.440000,21.430000,3.605000,1.331723,1.849511,3.355476,2.031493
2025-01-04,19.880000,22.380000,4.099400,1.321021,2.063850,4.318713,2.389658
2025-01-05,19.910000,22.390000,4.036300,1.182479,2.185178,4.613081,2.485727
2025-01-06,20.050000,24.770000,4.223500,1.176385,2.312547,4.797702,2.423895
2025-01-07,20.400000,24.930000,3.985400,1.241383,2.103779,4.418549,2.397184
2025-01-08,20.260000,23.350000,3.579100,1.439012,1.986116,3.345016,2.274969
2025-01-09,20.700000,22.820000,3.709700,1.281548,1.969368,3.662442,2.125194
2025-01-10,21.340000,24.750000,4.226900,1.115942,2.213233,4.954535,2.593446
2025-01-11,21.210000,25.850000,4.300800,1.212164,2.326674,4.788148,2.504361
2025-01-12,21.010000,25.070000,4.205000,1.157924,2.548920,4.749065,2.279683
2025-01-13,21.350000,23.920000,3.666500,1.285589,1.709588,3.442417,2.173172
2025-01-14,20.410000,22.950000,3.947000,1.456960,2.140507,3.634084,2.155212
2025-01-15,21.290000,24.620000,4.175800,1.295401,2.154607,4.194747,2.342096
2025-01-16,21.110000,24.720000,4.071600,1.361023,2.175206,4.133362,2.435050
2025-01-17,19.930000,22.970000,3.413500,1.333919,1.802479,2.919924,1.922187
2025-01-18,20.220000,22.670000,3.188600,1.371736,1.654353,2.437487,1.773176
2025-01-19,19.720000,22.140000,3.548400,1.416963,1.894482,3.046433,1.923352
2025-01-20,19.570000,22.100000,4.009000,1.470167,2.254903,3.914808,2.364268
2025-01-21,20.170000,22.370000,4.584000,1.162542,2.484902,4.934044,2.642715
2025-01-22,20.300000,24.020000,4.393000,1.348473,2.445051,4.312087,2.221768
2025-01-23,19.340000,23.900000,4.365400,1.349493,2.177943,4.240254,2.387094
2025-01-24,19.820000,23.920000,4.597400,1.322008,2.368729,4.606191,2.636596
2025-01-25,19.940000,23.440000,4.490200,1.256544,2.533973,4.706492,2.566890
2025-01-26,20.830000,24.560000,4.641100,1.197975,2.509059,5.052224,2.937094
2025-01-27,21.270000,24.310000,4.420600,1.342897,2.252820,4.219698,2.412475
2025-01-28,21.420000,23.900000,4.229800,1.436516,2.098073,3.617045,2.295907
2025-01-29,20.480000,23.110000,4.727500,1.326855,2.820481,4.719752,2.552257
2025-01-30,20.660000,23.130000,4.199300,1.420073,2.326591,3.585552,2.035036
2025-01-31,20.080000,22.170000,4.395600,1.440449,2.219470,3.898355,2.433577
2025-02-01,20.430000,23.850000,4.792800,1.401736,2.520003,4.748336,2.949848
2025-02-02,19.760000,22.480000,3.427000,1.299734,1.815429,2.812616,2.088803
2025-02-03,19.570000,22.160000,4.565300,1.440039,2.443078,4.179405,2.535076
2025-02-04,19.300000,22.390000,4.732600,1.439799,2.580292,4.208477,2.517368
2025-02-05,19.500000,23.610000,4.993000,1.349465,2.869702,4.821898,2.729098
2025-02-06,21.460000,25.650000,4.437400,1.540760,2.366559,3.726124,2.091905
2025-02-07,22.090000,26.090000,3.315600,1.645900,1.711638,1.967221,1.722217
2025-02-08,21.040000,25.180000,3.906000,1.707028,1.971929,2.790409,2.260021
2025-02-09,20.110000,22.640000,3.840500,1.681938,2.006706,2.802096,1.959615
2025-02-10,19.330000,21.770000,5.114200,1.522931,2.594859,4.456160,2.824894
2025-02-11,20.880000,25.040000,4.835800,1.545434,2.388475,4.012929,2.625551
